"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","New Zealand","","Flow Type(s):","Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Recipient(s)",
"All Recipients","","..","..","..","..","..","..","..","..","..","..","13.7","16.7","20.56","26.47","39.2","65.77","53.18","52.48","54.91","68.18","71.98","67.71","65.18","61.23","54.7","54.17","75.18","86.66","103.8","87.22","95.29","100.1","97.18","97.76","109.9","123.2","121.67","153.9","129.96","133.8","113.2","111.62","121.82","165.41","212.08","273.51","258.68","319.77","348.01","309.25","342.19","424.12","449.14","457.34"
"All Developing Countries","","..","..","..","..","..","..","..","..","..","..","10.8","13.1","16.21","19.33","29.47","50.23","43.51","41.7","44.87","53.1","52.4","50.5","49.27","47.53","43.78","42.84","60.71","66.16","93.32","76.47","81.04","81.31","74.03","73.61","85.11","97.52","101.96","112.9","98.35","101.32","84.95","84.74","91.69","129.11","159.02","223.78","202.82","247.05","277.85","225.96","271.21","329.57","361.57","350.54"
"All Multilateral Recipients","","..","..","..","..","..","..","..","..","..","..","2.9","3.6","4.35","7.14","9.73","15.54","9.67","10.78","10.04","15.08","19.58","17.21","15.91","13.7","10.92","11.33","14.47","20.5","10.48","10.75","14.25","18.79","23.15","24.15","24.79","25.68","19.71","41","31.61","32.48","28.25","26.88","30.13","36.3","53.06","49.73","55.86","72.72","70.16","83.29","70.98","94.55","87.57","106.8"
"Afghanistan","","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","..","0.01","0.01","..","..","..","..","..","..","..","0.02","0.02","..","..","..","..","..","..","0.03","0.03","..","0.07","0.21","0.03","0.01","0.11","0.6","2.04","1.4","10.01","9.22","3.32","3.73","7.8","4.16","3.49","5.93","15.87","7.43"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Algeria","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","..","..","..","..","..","..","..","..","..",".."
"Angola","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","0.13","0.14","..","..","..","..","..","..","0.38","..","..","0.08","0.11","..","..","..","..","..",".."
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Antigua & Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","..","0.01","..","..","0.12","..","..","..","..","..","..","..","..","..","..","..",".."
"Argentina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","0.06","0.03","0.01","..","..","0.04","0.03","0.07","0.08","0.07","0.11","0.22","0.15","0.24","0.34","0.29","0.2","0.16","0.43","0.19","0.12","0.14","0.19","0.14"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahamas","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","..","0.8","0.76","0.75","4.23","0.47","0.36","0.2","0.19","0.19","0.13","0.06","0.07","0.04","0.07","0.2","0.12","0.08","0.1","0.04","0.05","0.05","0.01","0.16","0.21","0.26","0.5","0.32","0.76","0.68","0.53","0.6","0.74","1","0.92","0.67","1.69","1.08","1.31","0.11","1.16","0.54","0.42"
"Barbados","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","..","0.02","0.03","0.01","0.01","0.01","0.01","..","..","..","..","..","..","..","..","..","..","..","0.02","0.04","0.01","..","0.02","0.03","..","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Belize","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.03","0.03","..","0.02","..","0.01","..","..","..","0.02","0.01","0.02","0.01","0.02","0.02","0.02","0.03",".."
"Benin","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","..","..","..","..","..","..","..","..","..","..","..",".."
"Bermuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.03","0.03","0.04","0.3","0.02","0.02","0.01","0.03","0.02","0.01","..","..","..","..","0.02","0.01","0.03","0.07","0.02","0.03","0.04","0.07","0.26","0.05","0.05","0.02","0.31","0.26","0.27","0.2","0.26","0.36","0.35","0.18","0.22","0.04","0.06","0.04","..","..",".."
"Bolivia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.02","..","..","..","0.01","..","0.01","..","..","..","..","0.01","0.02","0.03","..","..","..","0.35","0.03","0.01","..","..",".."
"Bosnia-Herzegovina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.06","0.03","0.03","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Botswana","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.01","0.01","0.02","..","0.01","0.07","0.19","0.05","0.06","0.07","0.04","0.03","0.04","0.03","0.09","0.05","..","0.11","0.22","0.23","0.09","0.06","0.05","0.04","0.03","0.02","0.02","..","..","..","..","..","0.04"
"Brazil","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.02","0.05","0.08","0.08","0.2","0.19","0.22","0.06","0.17","0.21","0.24","0.18","0.2","0.24","0.29","0.24","0.15","0.34","0.28","0.2","0.27","0.1","0.13"
"Brunei","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","..","..","..","..","..","..","..","..","..","..","..","0.02","..","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Burkina Faso","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","0.04","0.04","0.01","0.07","..","..","..","..","..","..","..","..","..","..","..","..","0.81",".."
"Burundi","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","0.1","0.26","0.09","0.09","0.09","..","..","0.05","0.03","0.12","1.25","..","..","..","..","..","..","..",".."
"Cambodia","","..","..","..","..","..","..","..","..","..","..","..","..","0.23","0.41","0.27","0.12","..","0.05","0.02","0.06","..","..","..","0.02","0.02","0.05","..","..","..","..","0.01","0.35","0.04","0.11","0.18","0.75","1.07","1.3","1.45","1.45","1.13","1.44","1.76","2.23","2.99","3.83","3.34","6.42","4.12","3.79","4.07","2.88","3.7","3.44"
"Cameroon","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.05","0.02","0.07","0.07","..","0.02","0.01","..","..","..","..","..","..","..","..","..",".."
"Cape Verde","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Cayman Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Central African Rep.","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Chad","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.12","..","..","..","..","..","..","..","..",".."
"Chile","","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","0.01","0.02","..","..","..","..","0.01","0.02","..","..","0.02","0.01","0.04","0.08","0.01","0.05","0.06","0.26","0.17","0.23","0.16","0.18","0.21","0.19","0.31","0.46","0.55","0.42","0.22","0.46","0.6","0.24","0.7","0.98","0.35","0.43"
"China","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.2","0.21","0.44","1.08","0.21","0.79","0.61","1.11","1.48","1.28","1.35","1.51","1.49","1.16","0.82","0.91","1.06","2.31","1.67","1.7","1.41","1.99","1.18","1.5","1.05","1.03","1.16"
"Chinese Taipei","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Colombia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.02","0.08","0.03","0.04","0.02","0.03","0.03","0.03","0.07","0.08","0.13","0.08","0.19","0.19","0.23","0.28","0.09","0.17","0.19","0.22","0.09","0.06","0.02","..","..","..","0.11","0.01","0.05"
"Comoros","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02"
"Democratic Republic of the Congo","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","0.23","..","0.05","..","..","0.06","0.47","0.07","0.22","0.05","..","0.77","0.08","..","..","..",".."
"Congo","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Cook Islands","","..","..","..","..","..","..","..","..","..","..","..","..","3.72","4.22","5.53","5.31","6.36","6.95","6.38","6.86","9.33","8.3","8.76","7.19","6.91","6.99","22.54","8.27","8.83","9.88","8.43","8.8","7.81","7.04","8.03","8.22","5.59","5.73","4.3","3.05","2.08","2.29","2.68","3.41","3.8","4.65","4.77","5.66","3.78","2.88","9.81","15.15","13.34","9.69"
"Costa Rica","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","..","0.05","..","0.06","0.07","..","0.06","0.02","..","..","..","..","..",".."
"Cote d'Ivoire","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","..","..","..","..","..","..","1.13","..",".."
"Croatia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Cuba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Cyprus","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","0.02","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Djibouti","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.46","..","..","..","..","..","..","..",".."
"Dominica","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","0.01","0.01","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.04","0.05","0.05","0.02","0.02","0.01","..",".."
"Dominican Republic","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"East African Community","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ecuador","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.05","0.09","0.06","0.03","0.01","0.01","..","..","..","0.01","0.03","..","..","..","0.14","..","..","0.03","0.03","0.04","0.02","0.04","0.09","0.36","0.34","0.36","0.14"
"Egypt","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.08","0.06","0.02","0.01","0.01","0.01","..","..","..","0.01","..","..","..","0.03","..","0.03","..","..","..","..","..","..","0.06","0.01","0.01","0.01","0.01","0.01","0.01","0.01","..","0.14","..","..","0.47","..",".."
"El Salvador","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","..","..","..","..","..","0.06","0.02","0.02","0.06","0.06","0.08","0.06","0.17","0.02","0.06","0.03","0.04","0.03","0.1","0.08","0.04","0.06","0.05","0.03","0.04","0.02","0.03"
"Equatorial Guinea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Eritrea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","0.06","..","..","..","..","..","0.18","0.08","0.03","1.2","0.16","0.03","..","..","..","..","..","..","..",".."
"Ethiopia","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.07","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.01","0.03","..","0.14","0.06","0.15","0.18","0.06","0.21","0.27","0.18","0.79","1.28","0.8","1.21","0.16","0.06","0.34","0.4","..","0.19","0.02","0.04"
"Falkland Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Fiji","","..","..","..","..","..","..","..","..","..","..","..","..","0.96","1.79","1.53","4.29","7.25","3.88","4.09","5.76","4.12","3.43","2.95","3.51","3.39","3.39","2.27","3.82","1.81","2.68","6.19","2.8","5.84","7.34","3.31","6.63","6.64","5.41","4.41","4.75","2.06","1.83","2.8","2.7","2.76","3.47","5.92","3.64","3.85","3.33","3.63","3.94","5.4","6.27"
"Former Yugoslav Republic of Macedonia (FYROM)","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"French Polynesia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","..","..","..","..","..","0.01","..","..","0.02","0.07","0.13","0.13","0.16","0.15","0.17","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gabon","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gambia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.04","0.05","0.04","0.03","0.03","..","0.02","0.05","0.05","..","..","0.03","0.03","0.04","0.01","..",".."
"Georgia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ghana","","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.02","0.01","..","..","..","..","..","..","..","0.02","..","..","..","..","..","0.01","0.03","0.01","0.03","..","0.06","0.13","0.09","0.17","0.07","0.19","0.11","0.02","0.08","0.06","0.07","0.12","0.17","0.12","0.19","0.17","0.16","0.4","0.2","0.18"
"Gibraltar","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Grenada","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.03","..","..","..","..","..","..","..","..","0.07","0.1","..","0.07","..","..","..","..",".."
"Guatemala","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.06","0.06","0.01","0.16","0.01","0.12","0.03","0.07","0.04","0.06","0.09","0.17","0.83","0.45","0.07","0.08","0.27","0.15","0.11","0.17"
"Guinea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Guinea-Bissau","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Guyana","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.08","0.05","0.2","0.05","0.02","0.01","0.01","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","..","..","0.11","0.09","0.06","0.05","0.06","0.05","..","..",".."
"Haiti","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.02","0.01","0.01","..","..","0.01","..","0.07","0.13","0.07","0.02","0.06","0.06","1.44","..","..",".."
"Honduras","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.05","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.04","0.01","..","0.09","..","0.11","0.05","0.08","0.04","..","..","..","0.12","0.19","0.13","0.19","0.12","0.03","0.02",".."
"Hong Kong, China","","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.03","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.15","0.02","..","..","..","0.01","0.01","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"India","","..","..","..","..","..","..","..","..","..","..","..","..","0.45","0.22","0.2","0.73","0.37","0.51","0.67","0.36","0.33","0.27","0.14","0.01","0.02","0.01","0.1","0.14","0.14","0.14","0.2","0.08","0.06","0.16","0.47","0.58","0.57","0.77","0.53","0.79","0.96","1.04","0.69","1.02","0.96","1.7","0.94","1.26","1.68","1.91","0.36","0.88","0.38","0.49"
"Indonesia","","..","..","..","..","..","..","..","..","..","..","..","..","1.97","2.19","3.96","7.09","4.17","2.7","2.78","2.81","3.07","4.52","4.88","4.06","2.9","1.46","2.39","2.1","2.33","2.24","3.12","2.35","2.58","2.79","3.2","3.28","3.46","4.23","3.24","3.92","2.88","2.99","4.47","4.84","6.53","13.04","8.76","13.16","12.11","5.14","6.54","15.28","12.02","6.33"
